Lng,Lat,City,Address
-81.56897,41.51592, USA-Cleveland Heights, Clifton Blvd. 11501 Clifton Boulevard Cleveland
-79.08474,33.49768, USA-Pawleys Island, Target Simpsonville T-1870 694 Fairview Road Simpsonville
-85.57426,38.28698, USA-Louisville, Oxmoor Center Kiosk 7900 Shelbyville Rd Louisville
-96.60873,33.01126, USA-Murphy, North St & West College 2021 North Street Nacogdoches
-119.10229,35.33993, USA-Bakersfield, Bakersfield Marketplace 9000 Ming Avenue Bakersfield
-84.7478,33.72977, USA-Douglasville, Arbor Place 6700 Douglas Blvd Douglasville
-84.37982,34.05738, USA-Roswell, Hwy 92 & King Rd 680 West Crossville Rd Roswell
-112.76857,33.96206, USA-Wickenburg, Safeway-Wickenburg #1584 1999 W Wickenburg Way Wickenburg
-122.6614,45.56568, USA-Portland, Safeway-Portland #1447 6901 NE Sandy Blvd Portland
-86.7011,33.5868, USA-Birmingham, Parkway East @ Roebuck Plaza Dr 9190 Parkway East Birmingham
-87.91929,43.177, USA-Fox Point, Germantown-Mequon Rd. & Squire N112W16510 Mequon Rd. Germantown
-79.78398,36.10402, USA-Greensboro, Greenville 518-B Greenville Blvd. SE Greenville
-73.97912,40.76178, USA-Manhattan, Massapequa Village Square 4301 Merrick Road Massapequa
-78.3884,42.9742, USA-Corfu, Target-Cheektowaga/Depew T-2191 4920 Transit Rd Depew
-77.06153,38.90519, USA-Washington, 3122 M Street 3122 M St NW Washington
-88.34092,41.98738, USA-South Elgin, South Holland
-83.98815,34.00466, USA-Lawrenceville, Kroger-Lawrenceville #424 1475 Buford Highway Lawrenceville
-121.92643,37.69248, USA-Pleasanton, Stoneridge Mall-Pleasanton 1 Stoneridge Mall Pleasanton
-122.82388,45.43288, USA-Tigard, Safeway-Tigard (King City) #1478 15570 SW Pacific Hwy Tigard
-73.61904,40.75663, USA-Westbury, Westbury II 1149 Old Country Road Westbury
-121.29275,38.89053, USA-Lincoln, Safeway-Lincoln #1761 405 SR-65 Lincoln
-111.77148,33.33547, USA-Gilbert, Albertsons-Gilbert #1023 861 E Warner Gilbert
